key,author,date,stars,title,helpful_yes,helpful_no,text,sentiment,keywords_2
0_bj,Ilovebennjerry,4/15/2017,3,Not enough brownies!,10,3,"Super good, don't get me wrong. But I came for the caramel and brownies, not the sweet cream. The packaging made it seem like brownies were packed and bountiful *crying frowny emoji* I'd say the taste of this was amazing, but the ratio of brownie to sweet cream was disappointing. Liked it regardless but probably won't buy again simply because it didn't live up to its promising package. I'll find another one that has a better ratio and wayyy more yummy chewy brownies.
Overall, good flavor, texture, idea, and brownies. Not so great caramel/sweet cream/ brownie RATIO. Just add more brownies. Please.",Neutral,"caramel,brownies,sweet cream,packaging,taste,ratio,yummy,texture,idea,caramel,sweet cream,brownie ratio"
0_bj,Sweettooth909,1/5/2020,5,I’m OBSESSED with this pint!,3,0,"I decided to try it out although I’m not a huge caramel fan, and the first buy was ok, didn’t like the caramel too much and for some reason that specific pint barely had any brownies! Like there were some on top but from the middle to the bottom? Zilch. Nada. Nothing! It was disappointing. But for some reason, I bought it again and I really do believe it was just that point bcuz the second one was glorious!! I had a big brownie chunk in EVERY bite. Plus the caramel didn’t bother me as much and I took a liking to it. Conclusion: I’m on my fifth pint, of the week and I’m going back to get my daily pint cus I’m kinda sick and need some happiness.",Positive,"caramel, brownies, pint, disappoint, brownie chunk, fifth pint, daily pint, happiness"
0_bj,LaTanga71,4/26/2018,3,My favorite...More Caramel Please,5,2,"My caramel core begins to disappear about half way through. I only buy this for the caramel core. The first time I purchased this I was not even aware that there were blonde bits in there. You had me a salted caramel core, well this is the fourth pint that I have purchased and the caramel is plentiful at the top then it begins to get sparse about half way down at 3/4s of the way down its gone. It works out in my husbands favor because he doesn't care for the caramel so he gets to finish my pint while having a full pint of his choice. Please please please, its called salted caramel core for a reason. Let the caramel flow through the core. P.S. You could put a little extra in there, I totally would not mind.",Negative,"salted caramel core, caramel, blonde bits, plentiful, sparse, flow"
0_bj,chicago220,1/14/2018,5,Obsessed!!!,24,1,"Why are people complaining about the blonde brownies? If you don’t like blonde brownies, get ice cream with fudge brownies! I LOVE the blonde brownies and cannot get enough of them. This ice cream is by far my favorite. I have driven to multiple stores to try and find it... and when I do, I stock up! I’ve tried other flavors when I can’t find this one, and none of them even come close to making me as happy as this does! I’d say sometimes the caramel to brownie ratio is a little off at times (more brownies please!), but I’ll still always enjoy it nevertheless!",Positive," Blonde Brownies , Ice Cream , Fudge Brownies , Caramel , Brownie Ratio , More Brownies , Enjoy"
0_bj,Kassidyk,7/24/2020,1,Worst Ice Cream Ever!,1,5,"This ice cream is worst ice cream I’ve ever tasted. I was beyond excited when I picked it up today and couldn’t wait to get home and try it. First the sweet cream ice cream has no flavour. But that’s fine I could get past that, but the salted caramel core is what’s really wrong. It’s disgusting and so salty it’s actually inedible. I’ve had ice cream before that I have really enjoyed but never to the point where I physically can not stomach it. I love salted caramel but this is just another level. I actually came here to read the reviews and see how others thought of it just in case mine was a bad batch. Never again!",Negative," ice cream , sweet cream , salted caramel , flavour, disgusting, salty, inedible, really enjoyed , bad batch , never again"
0_bj,Nikiera,7/23/2020,2,Way Too Salty,3,1,"I bought this last night to go with Louisiana Crunch cake because I was craving that salty and sweet flavor. Unfortunately, I was not thrilled with the salted caramel core of this ice cream. Usually, when you have salted caramel, the salt enhances the flavor of the caramel. The salt in this core OVERWHELMED everything, even the cake. It was disappointing to not enjoy my dessert and I doubt I'll be finishing this pint of ice cream, which is a shame because you should never have to throw away ice cream.",Negative,"Salted caramel,Louisiana Crunch cake ,Salty,Sweet,Overwhelmed,Disappointing,Throw away ice cream"
0_bj,Mmelvin,5/28/2017,3,"Love this flavor, but...",3,3,"This is definitely my favorite flavor, but recently, it does not have enough blonde brownie chunks. I'll go through at least half of the pint with just 1 or 2 chunks. It looks like plain ice cream with a salted caramel core. This has happened a lot lately, and it's so dissapointing. I've gotten to the point where I simply stopped buying it. Today, purchased two because they were on sale. It started the way it should be, with plenty of yummy chunks. Before I even got halfway as I was serving myself, no more chunks. After some digging around, I found 3 more way at the bottom. Please fix this! I love this ice cream, but it's pointless without the chunks.",Negative," Favorite flavor , Blonde Brownie chunks , Plain ice cream , Salted Caramel core , Disappointing , Stopped buying, Yummy chunks , Digging around , Fix this"
0_bj,Shay10,7/2/2017,3,Really Wanted To Love This,4,1,"I am not a chocolate person at all, and this was my very first time trying Ben & Jerry's, (Shame on me I'm 23 lol) so I was so excited to find a Caramel Ice Cream with BLONDE Brownie chunks instead of fudge. I really wanted to like this ice cream but I just couldn't. The Salted Caramel is a little too salty, In fact, I couldn't even eat the core, I just ate around it. I didn't really like the Sweet Cream Ice Cream, it didn't really have a taste to me, (Maybe Vanilla would be better). The only thing I loved about this Ice Cream were the Blonde Brownie Chunks, They were so delicious! I would love for this Ice Cream Recipe to be worked on, maybe I'll give it a try again in the future.",Neutral,"""Ben & Jerry's"", ""Caramel Ice Cream"", ""BLONDE Brownie"", ""Fudge"", ""Salted Caramel"", ""Sweet Cream Ice Cream"", ""Vanilla"", ""Blonde Brownie Chunks"""
0_bj,caramel4dayz,7/16/2017,2,Could be better.,8,6,"I LOVE caramel, so much so that I could eat it off a spoon, which was exactly what I was planning to do when I bought this ice cream. Unfortunately this caramel core is way too salty. I actually eat around it! I'm not a fan of the sweet cream ice cream flavor either; vanilla would've worked better. The blondie pieces were delicious but overall I'm disappointed. I really wanted to love this since I love Ben & Jerry's but this was not up to par with their other flavors!",Negative,"caramel, spoon, salty, sweet cream, vanilla, blondie, Ben & Jerry's."
0_bj,RosaT777,2/12/2019,3,Salted Caramel core had NO CARAMEL,1,1,I love all the Ben & Jerry’s flavor. But recently I been so disappointed of my favorite flavor salted core caramel. It has no core,Negative," Ben & Jerry's , Flavor , Salted Core Caramel , Core"
